uri	predicate_id
http://dbpedia.org/ontology/starring	0
http://dbpedia.org/ontology/wikiPageWikiLink	1
http://purl.org/dc/terms/subject	2
http://www.w3.org/2002/07/owl#sameAs	3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	4
http://dbpedia.org/ontology/producer	5
http://dbpedia.org/property/wikiPageUsesTemplate	6
http://dbpedia.org/ontology/wikiPageExternalLink	7
http://dbpedia.org/property/director	8
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	9
http://dbpedia.org/ontology/musicComposer	10
http://dbpedia.org/property/title	11
http://dbpedia.org/ontology/distributor	12
http://dbpedia.org/property/music	13
http://xmlns.com/foaf/0.1/depiction	14
http://dbpedia.org/property/cinematography	15
http://dbpedia.org/property/editing	16
http://dbpedia.org/property/distributor	17
http://dbpedia.org/ontology/writer	18
http://dbpedia.org/ontology/productionCompany	19
http://www.w3.org/ns/prov#wasDerivedFrom	20
http://purl.org/linguistics/gold/hypernym	21
http://dbpedia.org/ontology/director	22
http://dbpedia.org/ontology/editing	23
http://dbpedia.org/ontology/cinematography	24
http://dbpedia.org/property/wordnet_type	25
http://xmlns.com/foaf/0.1/homepage	26
http://dbpedia.org/property/country	27
http://dbpedia.org/property/producer	28
http://dbpedia.org/ontology/country	29
http://dbpedia.org/property/screenplay	30
http://www.w3.org/2000/01/rdf-schema#seeAlso	31
http://dbpedia.org/property/starring	32
http://dbpedia.org/property/studio	33
http://dbpedia.org/property/story	34
http://dbpedia.org/property/nextTitle	35
http://dbpedia.org/property/label	36
http://dbpedia.org/property/prevTitle	37
http://dbpedia.org/ontology/language	38
http://dbpedia.org/ontology/thumbnail	39
http://www.w3.org/2002/07/owl#differentFrom	40
http://dbpedia.org/property/writer	41
http://dbpedia.org/property/extra	42
http://dbpedia.org/property/artist	43
http://dbpedia.org/property/rev	44
http://dbpedia.org/property/genre	45
http://dbpedia.org/property/narrator	46
http://dbpedia.org/ontology/narrator	47
http://dbpedia.org/property/language	48
http://dbpedia.org/property/productionCompanies	49
http://dbpedia.org/ontology/wikiPageDisambiguates	50
